gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
M;25;Milan;Married;Master;Looking for a job;NSEP;10000;Milan;1;448.15;425.75;456.22;471.68;;;;;;;;209.52;;680.00;
F;25;Milan;Married;Master;Looking for a job;NSEP;10000;Milan;1;448.15;425.75;456.22;471.68;;;;;;;;209.52;;680.00;
M;32;Milan;Married;Master;Looking for a job;NSEP;10000;Milan;1;385.91;366.62;395.93;414.09;;;;;;;;187.47;;565.00;
F;32;Milan;Married;Master;Looking for a job;NSEP;10000;Milan;1;379.84;360.85;390.00;408.43;;;;;;;;187.47;;565.00;
M;25;Naples;Married;Master;Looking for a job;NSEP;10000;Milan;1;615.11;584.34;586.09;609.98;;;;;;;;222.98;;739.00;
F;25;Naples;Married;Master;Looking for a job;NSEP;10000;Milan;1;615.11;584.34;586.09;609.98;;;;;;;;222.98;;739.00;
M;32;Naples;Married;Master;Looking for a job;NSEP;10000;Milan;1;497.33;472.47;503.62;516.71;;;;;;;;194.59;;674.00;
F;32;Naples;Married;Master;Looking for a job;NSEP;10000;Milan;1;497.33;472.47;503.62;516.71;;;;;;;;194.59;;674.00;
M;25;Morocco;Married;Master;Looking for a job;NSEP;10000;Milan;1;591.79;562.21;576.28;597.06;;;;;;;;254.60;;682.00;
F;25;Morocco;Married;Master;Looking for a job;NSEP;10000;Milan;1;591.79;562.21;576.28;597.06;;;;;;;;254.60;;682.00;
M;32;Morocco;Married;Master;Looking for a job;NSEP;10000;Milan;1;556.97;529.11;555.65;569.16;;;;;;;;240.51;;565.00;
F;32;Morocco;Married;Master;Looking for a job;NSEP;10000;Milan;1;556.97;529.11;555.65;569.16;;;;;;;;240.51;;565.00;
M;25;China;Married;Master;Looking for a job;NSEP;10000;Milan;1;517.10;491.25;521.88;534.80;;;;;;;;254.60;;682.00;
F;25;China;Married;Master;Looking for a job;NSEP;10000;Milan;1;517.10;491.25;521.88;534.80;;;;;;;;254.60;;682.00;
M;32;China;Married;Master;Looking for a job;NSEP;10000;Milan;1;445.61;423.33;453.74;469.35;;;;;;;;240.51;;565.00;
F;32;China;Married;Master;Looking for a job;NSEP;10000;Milan;1;445.61;423.33;453.74;469.35;;;;;;;;240.51;;565.00;
M;25;Milan;Single;Master;Looking for a job;NSEP;10000;Milan;1;460.06;437.05;467.71;482.54;;;;;;;;209.52;;661.00;
F;25;Milan;Single;Master;Looking for a job;NSEP;10000;Milan;1;460.06;437.05;467.71;482.54;;;;;;;;209.52;;661.00;
M;32;Morocco;Single;Master;Looking for a job;NSEP;10000;Milan;1;599.75;569.75;579.74;603.17;;;;;;;;240.51;;552.00;
F;32;Morocco;Single;Master;Looking for a job;NSEP;10000;Milan;1;599.75;569.75;579.74;603.17;;;;;;;;240.51;;552.00;
M;25;China;Single;Master;Looking for a job;NSEP;10000;Milan;1;533.74;507.06;536.07;549.98;;;;;;;;254.60;;669.00;
F;25;China;Single;Master;Looking for a job;NSEP;10000;Milan;1;533.74;507.06;536.07;549.98;;;;;;;;254.60;;669.00;
M;32;China;Single;Master;Looking for a job;NSEP;10000;Milan;1;474.20;450.49;481.36;495.49;;;;;;;;240.51;;552.00;
F;32;China;Single;Master;Looking for a job;NSEP;10000;Milan;1;474.20;450.49;481.36;495.49;;;;;;;;240.51;;552.00;
M;25;Milan;Widow;Master;Looking for a job;NSEP;10000;Milan;1;491.90;467.31;498.40;511.73;;;;;;;;209.52;;744.00;
F;25;Milan;Widow;Master;Looking for a job;NSEP;10000;Milan;1;491.90;467.31;498.40;511.73;;;;;;;;209.52;;744.00;
M;32;Milan;Widow;Master;Looking for a job;NSEP;10000;Milan;1;414.45;393.73;423.76;440.60;;;;;;;;187.47;;680.00;
F;32;Milan;Widow;Master;Looking for a job;NSEP;10000;Milan;1;397.90;378.00;407.62;425.21;;;;;;;;187.47;;680.00;
M;25;Naples;Widow;Master;Looking for a job;NSEP;10000;Milan;1;716.63;680.81;638.17;654.63;;;;;;;;222.98;;804.00;
F;25;Naples;Widow;Master;Looking for a job;NSEP;10000;Milan;1;716.63;680.81;638.17;654.63;;;;;;;;222.98;;804.00;
M;32;Naples;Widow;Master;Looking for a job;NSEP;10000;Milan;1;562.77;534.64;560.51;573.85;;;;;;;;194.59;;732.00;
F;32;Naples;Widow;Master;Looking for a job;NSEP;10000;Milan;1;562.77;534.64;560.51;573.85;;;;;;;;194.59;;732.00;
M;25;Morocco;Widow;Master;Looking for a job;NSEP;10000;Milan;1;709.45;673.98;633.28;651.30;;;;;;;;254.60;;746.00;
F;25;Morocco;Widow;Master;Looking for a job;NSEP;10000;Milan;1;709.45;673.98;633.28;651.30;;;;;;;;254.60;;746.00;
M;32;Morocco;Widow;Master;Looking for a job;NSEP;10000;Milan;1;628.61;597.17;591.34;615.66;;;;;;;;240.51;;682.00;
F;32;Morocco;Widow;Master;Looking for a job;NSEP;10000;Milan;1;628.61;597.17;591.34;615.66;;;;;;;;240.51;;682.00;
M;25;China;Widow;Master;Looking for a job;NSEP;10000;Milan;1;567.81;539.42;564.71;577.91;;;;;;;;254.60;;746.00;
F;25;China;Widow;Master;Looking for a job;NSEP;10000;Milan;1;567.81;539.42;564.71;577.91;;;;;;;;254.60;;746.00;
M;32;China;Widow;Master;Looking for a job;NSEP;10000;Milan;1;522.97;496.82;526.89;540.14;;;;;;;;240.51;;682.00;
F;32;China;Widow;Master;Looking for a job;NSEP;10000;Milan;1;522.97;496.82;526.89;540.14;;;;;;;;240.51;;682.00;
M;25;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;542.04;514.93;543.11;557.03;;;;;;;;209.52;;680.00;
F;25;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;542.04;514.93;543.11;557.03;;;;;;;;209.52;;680.00;
M;32;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;453.71;431.03;461.59;476.75;;;;;;;;187.47;;565.00;
F;32;Milan;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;441.56;419.49;449.85;465.66;;;;;;;;187.47;;565.00;
M;25;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;393.72;374.04;403.57;421.33;;;;;;;;187.47;;565.00;
F;25;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;757.21;719.36;665.26;677.03;;;;;;;;222.98;;739.00;
M;32;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;574.80;546.07;568.56;583.53;;;;;;;;194.59;;674.00;
F;32;Naples;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;574.80;546.07;568.56;583.53;;;;;;;;194.59;;674.00;
M;25;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;791.97;752.36;687.82;699.08;;;;;;;;254.60;;682.00;
F;25;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;791.97;752.36;687.82;699.08;;;;;;;;251.32;;682.00;
M;32;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;656.80;623.96;605.64;626.58;;;;;;;;237.42;;565.00;
F;32;Morocco;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;656.80;623.96;605.64;626.58;;;;;;;;237.42;;565.00;
M;25;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;577.85;548.96;569.98;585.95;;;;;;;;251.32;;682.00;
F;25;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;577.85;548.96;569.98;585.95;;;;;;;;251.32;;682.00;
M;32;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;530.13;503.63;533.01;546.70;;;;;;;;237.42;;565.00;
F;32;China;Married;Without a qualification;Looking for a job;NSEP;10000;Milan;1;530.13;503.63;533.01;546.70;;;;;;;;237.42;;565.00;
M;25;Milan;Single;Without a qualification;Looking for a job;NSEP;10000;Milan;1;480.01;456.01;486.97;500.84;;;;;;;;207.47;;661.00;
