gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
F;25;Milan;Married;Master;Employee;NSEP;10000;Milan;1;434.22;412.52;442.81;458.90;;;;;;;;207.47;;707.00;
F;32;Milan;Married;Master;Employee;NSEP;10000;Milan;1;343.69;326.51;354.47;384.77;;;;;;;;185.26;;646.00;
F;25;Milan;Married;Master;Employee;NSEP;30000;Milan;1;465.28;442.02;472.76;487.30;;;;;;;;207.47;;734.00;
F;32;Milan;Married;Master;Employee;NSEP;30000;Milan;1;421.69;400.61;430.76;447.30;;;;;;;;185.26;;671.00;
F;25;Milan;Married;Master;Employee;OLED;10000;Milan;1;463.34;440.19;470.88;485.54;566.55;549.37;;;;;;;;1271.00;
F;32;Milan;Married;Master;Employee;OLED;10000;Milan;1;400.83;380.79;410.49;427.95;479.58;465.20;;;;;;;;1158.00;
F;25;Milan;Married;Master;Employee;OLED;30000;Milan;1;459.28;436.33;466.98;481.84;566.55;549.37;;;;;;;;1258.00;
F;32;Milan;Married;Master;Employee;OLED;30000;Milan;1;376.37;357.57;386.61;405.18;479.58;465.20;;;;;;;;1158.00;
F;25;Milan;Married;Master;Employee;NSEP;10000;Naples;1;1003.16;;800.45;818.26;;;;;;;;432.05;1634.00;;
F;32;Milan;Married;Master;Employee;NSEP;10000;Naples;1;713.36;;617.20;641.60;;;;;;;;376.44;1492.00;;
F;25;Milan;Married;Master;Employee;NSEP;30000;Naples;1;1180.23;;912.36;927.05;;;;;;;;432.05;1551.00;;
F;32;Milan;Married;Master;Employee;NSEP;30000;Naples;1;827.96;;692.06;712.20;;;;;;;;376.44;1417.00;;
F;25;Milan;Married;Master;Employee;OLED;10000;Naples;1;785.47;;663.39;685.62;2160.54;2091.40;;;;;;;2297.00;;
F;32;Milan;Married;Master;Employee;OLED;10000;Naples;1;687.99;;602.76;630.01;1776.79;1720.15;;;;;;;2092.00;;
F;25;Milan;Married;Master;Employee;OLED;30000;Naples;1;1155.10;;896.53;911.49;2160.54;2091.40;;;;;;;2379.00;;
F;32;Milan;Married;Master;Employee;OLED;30000;Naples;1;796.67;;670.75;692.48;1776.79;1720.15;;;;;;;2161.00;;
F;25;Milan;Married;Master;Employee;NSEP;10000;Milan;4;853.91;;709.46;729.29;;;;;;;;477.16;1561.00;;
F;32;Milan;Married;Master;Employee;NSEP;10000;Milan;4;622.78;;571.77;576.44;;;;;;;;414.90;1265.00;;
F;25;Milan;Married;Master;Employee;NSEP;30000;Milan;4;1818.66;;1413.20;1373.71;;;;;;;;477.16;1762.00;;
F;32;Milan;Married;Master;Employee;NSEP;30000;Milan;4;1094.39;;857.71;873.91;;;;;;;;414.90;1430.00;;
F;25;Milan;Married;Master;Employee;OLED;10000;Milan;4;455.45;432.68;463.27;478.34;621.15;602.29;;;;;;;;1518.00;
F;32;Milan;Married;Master;Employee;OLED;10000;Milan;4;362.85;344.71;373.37;392.50;479.80;465.40;;;;;;;;1209.00;
F;25;Milan;Married;Master;Employee;OLED;30000;Milan;4;457.21;434.35;464.96;479.94;621.15;602.29;;;;;;;;1520.00;
F;32;Milan;Married;Master;Employee;OLED;30000;Milan;4;467.56;444.18;474.96;489.39;480.05;465.66;;;;;;;;1258.00;
